AFG,100 million year,adaptive capacity resilience,10 785 billion,assumes ghg emissions,climate change afghanistan,islamic republic afghanistan,ghg emissions peak,co2 eq gg,national development policies,climate change adaptation,10 percent seen,afghanistan greenhouse gas,assessment global environmental,building needs finance,capacity needs self,climate friendly irrigation,environmental management ncsa,eq gg co2,finance needs usd,ghg emissions afghanistan
BFA,housing urban development,solar power plant,boucle du mouhoun,improved cook stoves,forests land use,improved cook stove,assisted natural regeneration,000 450 000,authors july 2015,burkina faso indc,capabilities forecast respond,current trend scenario,forecast respond phenomena,non quantified targets,power plant sonabel,respond phenomena associated,source authors july,strengthening capabilities forecast,sustainable land management,18 500 000
BGD,bangladesh climate change,power transport industry,transport industry sectors,energy efficiency conservation,mitigation actions sectors,future ghg emissions,address adverse impacts,bangladesh energy efficiency,based bangladesh energy,http www rthd,indc implementation roadmap,projects http www,rthd gov bd,scenario 2030 mtco2e,tropical cyclones storm,www rthd gov,compared business usual,ministry environment forests,climate change trust,additional mitigation actions
BHR,action mitigation benefits,bahrain does understanding,carbon sink planning,engage international union,kingdom bahrain does,ministry transportation communications,ministry works municipalities,planning engage international,present kingdom bahrain,sink planning engage,adaptation action mitigation,international union conservation,union conservation nature,sea level rise,gas emission development,national communication report,strategies plans actions,low greenhouse gas,island developing states,greenhouse gas emission
BHS,mean sea level,climate change bahamas,renewable energy resources,second national communications,000 square miles,100 000 square,associated changing climate,bahamas second national,effects associated changing,incorporates climate change,mitigation protect negative,negative effects associated,protect negative effects,reverse osmosis facilities,sectors adaptation options,services based economy,use reverse osmosis,climate change considerations,increase energy security,near shore marine
BIH,power generation capacity,development financial mechanisms,base year 1990,access international development,district heating systems,emission reduction possible,entities brčko district,federation bosnia herzegovina,international development financial,mw 2030 install,scenario does include,scenario power sector,according baseline scenario,generation capacity mw,steady increase emissions,business usual baseline,emissions reduction relative,total power generation,reduction relative business,generated renewable energy
BLR,council ministers republic,ministers republic belarus,greenhouse gas emissions,resolution council ministers,tons co2 eq,approved resolution council,commitments republic belarus,implementation best available,thousand tons co2,best available technologies,reduction greenhouse gas,emissions base year,139 151 23,151 23 thousand,1990 139 151,2016 2019 legislative,2030 pursuant strategy,23 thousand tons,adopted parties decision,adopted resolution council
BLZ,coastal marine resources,growth sustainable development,climate change belize,cost following planned,estimated cost following,expected cumulative reduction,following planned activities,resources including estimated,solid waste management,including estimated cost,strategy action plan,national climate change,methodology emissions accounting,national solid waste,waste management strategy,change policy strategy,determined contribution ndc,2030 expected cumulative,belize integrated coastal,belize mitigation potential
BOL,plurinational state bolivia,million hectares 2030,mitigation adaptation climate,obtained multiplying variable,sustainable management forests,adaptation climate change,water storage capacity,actions promoted focus,adding result equation,agricultural forestry production,climate justice index,contribution plurinational state,determined contribution plurinational,distribution co2 budget,energy steam combined,following measures actions,following results estimated,global emissions budget,integrity mother earth,joint mitigation adaptation
BRA,100 ipcc ar5,gwp 100 ipcc,gtp 100 ipcc,accessed september 2015,tco2e gwp 100,cambridge united kingdom,eds cambridge university,emission levels gtco2e,gtco2e gwp 100,kingdom new york,new york ny,press cambridge united,stocker qin plattner,united kingdom new,university press cambridge,york ny usa,cambridge university press,contribution working group,anthropogenic greenhouse gas,greenhouse gas emissions
BRB,barbados sustainable development,ghg emissions barbados,national sustainable energy,sustainable development policy,reduce ghg emissions,17th september 2015,2008 chosen base,barbados national adaptation,climate change gob,development strategy 2013,economy scoping study,electrical energy efficiency,energy information communication,ghg emissions 44,green economy scoping,intention reduce ghg,medium term growth,monitored national climate,nccpf formally approved,nccpf monitored national
BRN,government brunei darussalam,department prime minister,energy department prime,prime minister office,transport white paper,energy efficiency conservation,10 total power,brunei darussalam continue,heart borneo initiative,wawasan brunei 2035,total power generation,brunei darussalam developed,brunei darussalam economy,building guidelines non,contribution brunei darussalam,eec building guidelines,fuel economy regulation,generation sourced renewable,guidelines non residential,land transport master
BTN,million tons co2e,remain carbon neutral,million tons co2,commitment remain carbon,estimated million tons,forest management conservation,national communication bhutan,economic development policy,year development plan,2010 draft 2015,achieving food nutrition,agriculture contribute achieving,alleviation self sufficiency,areas community forests,areas outside fmus,bhutan unfccc 2011,biodiversity ensure sustained,climate change bhutan,climate induced extremes,communication bhutan unfccc
BWA,15 2030 taking,2030 taking 2010,achieve overall emissions,botswana vulnerable impacts,emissions reduction 15,estimated based baseline,intends achieve overall,overall emissions reduction,reduction 15 2030,reduction target estimated,taking 2010 base,target estimated based,low carbon strategy,term low carbon,base year emission,long term low,communication united nations,national communication united,2010 base year,emissions reduction target
CAF,central african republic,kt eq co2,000 000 000,000 500 000,processes use solvents,000 000 500,industrial processes use,000 000 national,emissions central african,eq co2 2050,management programme central,programme central african,tons eq co2,agriculture animal husbandry,agriculture food security,lived climate pollutants,000 kt eq,116 285 49,285 49 kt,330 000 kt
CAN,pan canadian framework,clean growth climate,growth climate change,canadian framework clean,framework clean growth,pricing carbon pollution,federal provincial territorial,outlined pan canadian,actions reduce emissions,2005 levels 2030,reduce greenhouse gas,low carbon economy,accordance paris agreement,actions outlined pan,ambition time subject,canada 2030 target,canada meet exceed,canada positioned meet,clean fuel standard,clean technology innovation
CHE,greenhouse gas emissions,non forest land,50 percent 2030,use carbon credits,credits international mechanisms,emissions non forest,percent compared 1990,emissions 50 percent,emissions world average,subject approval parliament,carbon credits international,capita emissions world,period 2021 2030,commitment period kyoto,period kyoto protocol,emissions capita emissions,1990 2012 switzerland,1990 levels puts,climate policy period,efficient mitigation potential
CHL,gas inventory 1990,inventory 1990 2010,http portal mma,mma gob cl,portal mma gob,greenhouse gas inventory,national greenhouse gas,carbon intensity target,chile october 2014,conventional renewable energies,maps chile october,100 000 hectares,non conventional renewable,committee ministers sustainability,law 20 780,october 2014 11,capacity building strengthening,carbon intensity gdp,technology development transfer,gross domestic product
CHN,2015 agreement shall,accordance provisions convention,carbon emission trading,green low carbon,low carbon development,agreement shall stipulate,developed countries shall,shall accordance provisions,countries shall accordance,carbon dioxide emissions,finance technology capacity,climate change china,billion cubic meters,primary energy consumption,technology capacity building,promote low carbon,12th year plan,2005 installed capacity,conservation emission reduction,dioxide emissions unit
CIV,emission levels including,reduction social conflicts,decrease pressure natural,including decrease pressure,levels including decrease,ghg emission levels,reduction ghg emission,pressure natural resources,development new qualified,new qualified job,qualified job streams,quality life reduction,maintaining ecosystem services,improved quality life,low carbon scenario,conflicts reduction ghg,energy earnings gains,life reduction social,reduction energy earnings,social conflicts reduction
CMR,medium rest country,high medium rest,zones high medium,climate change cameroon,strong strong zones,agro ecological zones,country droughts rising,droughts rising temperatures,globally high high,high high zones,high zones high,national observatory climate,rest country droughts,rest country strong,strong medium rest,vulnerability globally high,zones strong medium,energy electricity mix,observatory climate change,water sanitation health
COD,democratic republic congo,climate change napa,152 million ha,2010 medd 2015,2015 2020 ongoing,2020 ongoing project,2021 2030 contribution,action program 2012,country lowest human,economic development addition,ha 2010 medd,million ha 2010,mining agriculture forestry,program 2012 2016,usd 082 billion,environment sustainable development,vulnerability impacts climate,2014 human development,2030 contribution type,according 2014 human
COG,low carbon scenario,low carbon conditional,tons co2 capita,trend development scenario,100 000 ha,ghg emissions excluding,14 billion euros,2025 2035 starting,2035 starting 2000,2035 trend scenario,activities related marine,agriculture republic congo,aimed integrated management,allowing green production,bank rehabilitation works,barriers bank rehabilitation,bas carbone conditionnel,carbon conditional scenario,circulation products especially,city pointe noire
COK,cook islands confident,diesel based renewable,million sq km,global ghg emission,conditional external support,include inter alia,00012 2004 global,00012 ghg emission,100 cent adaptation,100 coverage 2020,15 small islands,1994 2014 cook,20 year national,2004 ipcc report,2006 34 attributed,2006 base year,2006 blue dash,2006 reduction conditional,2007 2010 subsequently,2007 collectively consequences
COL,include climate change,public private entities,ton co2eq capita,mitigation adaptation climate,biennial update report,224 mton co2eq,approach employed total,colombia developing country,colombian low carbon,consolidation peace territories,country faces colombia,current prospective policies,employed total land,entities academia civil,experts public private,land use area,national planning department,post conflict scenarios,private entities academia,projected bau scenario
COM,2020horizon 2025horizon 2030,2025 2030 mitigation,carbon sink participate,goal carbon sink,horizon 2020horizon 2025horizon,low contribution greenhouse,pursue goal carbon,reductions mitigation measures,sink participate global,tco2eq horizon 2020horizon,despite low contribution,2000 2005 2010,2020 2025 2030,200 ha annually,2030 mitigation measures,cpdn union comoros,gases union comoros,ghg reductions mitigation,ghg reductions tco2eq,greenhouse gases union
CPV,overall energy demand,support cabo verde,cabo verde seeks,20 000 hectares,best efforts achieve,energy demand 2030,international support cabo,base scenario 2030,cabo verde makes,master plans planos,plans planos diretores,sanitation master plans,table cabo verde,verde makes unconditional,water sanitation master,2030 base scenario,cabo verde national,cabo verde proposed,efforts achieve indicative,following key measures
CRI,ministry environment energy,costa rica national,domestic carbon market,inter ministerial council,ministerial council climate,mitigation adaptation goals,climate change department,climate change policies,council climate change,climate change strategy,adaptation costa rica,costa rica reserves,environmental information center,geo environmental information,goal costa rica,goals proposed national,green inclusive development,information center ceniga,national conservation areas,national geo environmental
CUB,rational use natural,mean sea level,use natural resources,guidelines economic social,policy party revolution,rise mean sea,social policy party,economic social policy,1990 sharp reduction,2011 directives action,2050 2100 council,2100 council ministers,35 years production,45 affecting general,action plan approved,activities especially fundamental,acute economic crisis,affecting general way,approved resulting scientific,assembly people power
DJI,funding project financed,republic djibouti estimated,business usual scenario,contribution republic djibouti,djibouti estimated reduction,estimated reduction emissions,kt co2e year,financed private investors,funding european union,investors partnership republic,onshore wind turbines,partnership republic djibouti,plants scheduled commissioned,power plants scheduled,private investors partnership,project financed private,resilience rural populations,scenario kt co2e,climate change alliance,rising sea levels
DMA,dominica low carbon,change environment development,low carbon climate,resilient development strategy,carbon climate resilient,forecasted emission reductions,climate change environment,climate change risks,increase extreme events,climate resilient development,climate change financing,climate change risk,department climate change,adaptive capacity assessment,capital cost estimate,climate change dominica,program timing 2016,tropical storm erika,international climate change,change adaptation policy
DOM,competitively inserted global,dominican republic intended,inserted global economy,million 2005 dollars,republic intended nationally,period 2010 2030,hydro meteorological events,000 million 2010,100 years second,14 gross domestic,17 000 million,1997 tropical storms,1998 hurricane georges,2005 2030 terms,2005 dollars period,2005 dollars representing,2007 forced government,2010 2030 achieve,2010 2030 reaches,2010 2030 review
DZA,national climate plan,national climate committee,economic social council,national circumstances algeria,minister charge environment,national economic social,authority minister charge,climate change agency,climate plan national,drop oil prices,ecosystems agriculture resilience,final contribution time,ghg emitting country,integrate impacts climate,national programs renewable,new external financial,placed authority minister,provisional contribution algeria,reduce gas flaring,represented national climate
ECU,cambio climático en,climate change plan,national climate change,account participation people,agriculture land uses,américa latina el,approach ensure human,del cambio climático,ecological flow approach,en el ecuador,ensure human right,flow approach ensure,heritage sustainably taking,latina el caribe,manage water heritage,national plan good,participation people using,people using watershed,plan good living,pncc 2015 2018
EGY,energy efficiency improvements,fy 2014 2015,pass transport increase,transport increase share,climate change associated,low carbon energy,sustainable development goals,abdel fattah el,arab republic egypt,associated risks disasters,carbon energy systems,change associated risks,economic situation fy,efficiency improvements utilization,energy use power,fattah el sisi,fy 2015 2016,improvements utilization solar,mega projects planned,national mega projects
ERI,fossil fuel co2,government state eritrea,greenhouse gases emission,increase sea water,sea water temperature,2020 mtco2 2025,2025 mtco2 2030from,2030 option kt,2030from fossil fuel,chance limiting warming,change direct impact,conditional ghg reduction,conditional unconditional funding,data scientific research,efficient domestic lighting,eritrea investment needs,ghg reduction options,mtco2 2020 mtco2,mtco2 2025 mtco2,mtco2 2030from fossil
ETH,green economy strategy,climate resilient green,resilient green economy,democratic republic ethiopia,federal democratic republic,mt co2e total,economy strategy crge,emission reduction component,income status 2025,reduction component eindc,sector emissions totalling,totalling mt co2e,economy adverse effects,middle income status,sectoral adaptation plans,electric power generation,145 mt co2e,business asusual bau,climate change epacc,contributing achievement objective
EU28,eu member states,indc eu member,tonnes co2 eq,2015 manner facilitates,40 domestic reduction,contribution eu member,decision 529 2013,determined contribution eu,domestic reduction greenhouse,emissions eu member,member states parties,parties eu member,2050 compared 1990,absolute reduction base,facilitates clarity transparency,manner facilitates clarity,reduction base year,land use land,use land use,forestry land uses
FJI,short term years,green growth framework,medium term years,challenges proposed way,key challenges proposed,proposed way forward,time bound indicators,climate change disaster,long term years,emission reduction target,change disaster risk,sustainable energy se4all,10 achieved implementation,2015 medium term,30 bau 2030,500 million conditional,achieved implementation green,action time bound,actions time bound,additional external financing
FSM,emissions year 2000,federated states micronesia,000 tco2e approximately,co2e emissions accounting,kwh sectoral sales,micronesia intended nationally,sales data calculated,sectoral sales data,states micronesia intended,total co2e emissions,adaptation needs post,emission reductions expected,needs post 2020,electricity generation transport,risk management climate,management climate change,international market mechanisms,greenhouse gas emission,000 tco2e emission,000 tco2e shown
GAB,compared trend scenario,000 ggco2 2010,ggco2 2010 2025,ghg emissions 500,orientation sustainable development,period 2010 2025,excluding carbon storage,carbon storage biomass,reduce ghg emissions,011 2014 regulating,13 national parks,2014 regulating hydrocarbon,2025 basis gabon,2025 supply electricity,500 000 ggco2,basis gabon developed,cement works agriculture,controlled development scenario,creation 13 national,emerging gabon strategic
GEO,equal reduction emission,unit gdp approximately,reduction emission intensity,emission intensity unit,intensity unit gdp,pre 2020 mitigation,2020 mitigation actions,assist natural regeneration,reduced water availability,15 business usual,15 reduction target,2013 2030 15,2013 2030 25,2030 15 reduction,2030 25 reduction,2030 equal reduction,2030 stay 40,25 conditional manner,25 reduction bau,34 2013 2030
GHA,emission reduction goal,policy actions programme,utilization forest resources,10 year period,sustainable energy action,actions programme actions,double energy efficiency,efficiency improvement 20,indc policy actions,national forest wildlife,energy action plan,adaptation policy actions,forest wildlife policy,energy efficiency improvement,projections bau emission,sector projections bau,sustainable mass transportation,usd 81 billion,usd 22 billion,conditional emission reduction
GIN,mitigation potential commitment,initial national communication,gaps barriers needs,2013 mining code,co2eq 15 years,management development plan,mangrove management development,tonnes co2eq 15,climate change guinea,adaptation plan action,combat climate change,2012 prsp iii,assessment mitigation potential,available data currently,based emissions 1994,commitment calculated total,commitment context description,commitments commitment context,communication republic guinea,considerable socio economic
GMB,greater banjul area,emissions climate resilient,low emissions climate,climate change gambia,growth employment page,programme accelerated growth,accelerated growth employment,mainstreaming climate change,agriculture natural resources,integration climate change,climate resilient development,financial technical support,disaster risk reduction,climate change fund,brikama greater banjul,department water resources,development strategy lecrds,page 2012 2015,reductions mitigation option,change national development
GNB,assessment vulnerability adaptation,technological capacity building,financial technological capacity,cost benefit analysis,capacity building support,adaptation capacity reducing,applicability knowledge acquired,areas 15 26,areas order enhance,benefit analysis adaptation,capacity reducing pressure,change guinea bissau,contributions guinea bissau,decision making planning,development regional international,direct effect improving,effect improving decision,enhance adaptation capacity,fishery resources improving,food security populations
GNQ,republic equatorial guinea,2015 2030 2030,according international standards,estimated costs millions,ministry fisheries environment,pesca medio ambiente,2030 2030 2050,2013 por el,achieve integrated management,analysis resilience capacity,apoyo financiero gef,applied climate change,area territorial administration,capacity infrastructures undertaken,climate vulnerability national,climatic factors area,construction meteorological stations,contributions planned determined,costs 2015 2030,diagnoses climate vulnerability
GRD,2010 2014 period,2014 period grenada,change policy action,climate change grenada,emissions 2010 2014,grenada currently undertaking,grenada greenhouse gas,period grenada plans,tons carbon hectare,small island developing,caribbean challenge initiative,local national level,greenhouse gas emissions,policy action plan,national climate change,climate change committee,impacts climate change,ecosystem based adaptation,island developing state,reducing greenhouse gas
GTM,framework law climate,million tons equivalent,law climate change,tons equivalent year,53 85 million,85 million tons,climate change created,2030 reduced value,agroforestry vocation pinpep,barriers require greater,change framework law,climate information development,cultural barriers require,emissions 2005 base,equivalent year figure,establishment recovery restoration,financial cultural barriers,greater support speed,holders small land,incentives program holders
GUY,guyana redd programme,revised intended nationally,coastal low lying,net carbon sink,18 48 million,19 lima cp,accordance warsaw cop,adequate resources guyana,approved cabinet submitted,benefits accrue redd,cabinet submitted unfccc,carbon sink countries,cp 19 lima,cp 20 guyana,development strategy lcds,forest carbon emissions,guyana implement policies,guyana process reviewing,lima cp 20,reference level redd
HND,change law national,climate change strategy,adaptation climate change,climate change law,agroforestry law rural,biophysical topographic characteristics,change strategy agroforestry,climate change sought,emissions preparation indc,estimate series quantified,estimates included existing,high vulnerability events,honduras permanently exposed,included existing national,indc 1995 2012,islands bay islands,law rural development,line estimates included,low carbon resistant,measures republic honduras
HTI,2030 protect conserve,25 387 billion,development haiti psdh,information education awareness,national forest parks,plan development haiti,protect conserve existing,risk disaster management,strategic plan development,trend development scenario,marine protected areas,society private sector,15 strategic watersheds,16 614 billion,614 billion usd,action plan napa,climate related phenomena,compared trend development,conserve existing national,disasters linked climate
IDN,food water energy,bau cm1 cm2,50 result model,note quantitative target,quantitative target defined,target defined min,carbon climate resilience,defined min industry,mitigation adaptation efforts,000 hectares 2030,adaptation mitigation efforts,low carbon climate,2011 50 result,2030 50 result,climate change indonesia,low emission crops,model 2011 50,projected bau emission,resilience food water,terrestrial coastal marine
IND,states union territories,billion usd billion,forest tree cover,adoption manufacturing hybrid,bharat mission clean,clean india mission,faster adoption manufacturing,manufacturing hybrid electric,mission clean india,mission sustainable agriculture,national mission sustainable,swachh bharat mission,hybrid electric vehicles,atal mission rejuvenation,climate change india,countries like india,developing countries like,india climate change,intensity indian economy,mission rejuvenation urban
IRN,islamic republic iran,dust sand storms,mitigation ghgs emission,national development plans,2010 fixed prices,billion dollars 2010,climate change iran,dollars 2010 fixed,mitigate ghgs emission,mitigating ghgs emission,technology transfer provided,unjust sanctions imposed,billion cubic meters,mitigate ghgs emissions,national mitigation actions,year national development,international financial resources,combined cycle power,cycle power plants,support technology transfer
ISL,eu emissions trading,european economic area,emissions trading scheme,40 iceland emissions,commitments kyoto protocol,credits eu ets,economy like iceland,iceland intended nationally,member states possibly,reached iceland determine,small economy like,european union member,union member states,eu member states,second commitment period,1990 levels precise,1990 means iceland,2020 climate mitigation,2020 commitments agreement,2020 contribution climate
ISR,10 tco2e capita,renewable energy 17,inter ministerial committee,greenhouse gas emissions,ghg emissions reduction,04 mtco2e equivalent,10 million compared,10 target 2020,105 mtco2e 2030,17 electricity generated,17 reduction electricity,17 renewable energy,1995 methodology scenarios,20 israel communicates,20 shift private,2005 10 tco2e,2005 million 2015,2012 2015 government,2012 83 04,2015 annual gdp
JAM,kt co2 eq,metric tons carbon,change policy framework,tons carbon dioxide,2030 jamaica national,carbon dioxide person,fisheries forestry water,jamaica national development,tourism agriculture fisheries,vision 2030 jamaica,agriculture fisheries forestry,strategies action plans,co2 eq 2030,2030 2025 12,bau 2030 2025,change strategies action,change terms natural,climate change jamaica,compounds sulphur dioxide,developing state jamaica
JOR,jordan 2013 2020,climate change policy,change policy jordan,hashemite kingdom jordan,strategic objectives measures,national climate change,10 year strategy,aiming reducing jordan,change policy hashemite,kingdom jordan 2013,kpi style target,objectives measures instruments,outcome target aiming,policy hashemite kingdom,policy jordan 2013,sustainable development oriented,target aiming reducing,communication report unfccc,agriculture food security,strategy action plan
JPN,energy efficiency conservation,energy originated co2,reduction compared fy,compared fy 2005,compared fy 2013,2005 level approximately,corresponding reduction total,introduction energy efficiency,total emissions fy,emission reductions removals,reduction total emissions,2013 fy 2005,fy 2005 approximately,fy 2005 level,fy 2013 fy,fy 2013 level,introduction high efficient,non energy originated,pfcs sf6 nf3,2013 corresponding reduction
KAZ,31 december 2030,bau projected emissions,compared bau projected,december 2030 compared,emissions 31 december,ghg emissions 31,growth kazakhstan adopted,target proposed kazakhstan,emissions 2030 compared,reduction ghg emissions,path low carbon,2030 compared base,2030 compared bau,compared base year,market based mechanisms,gas emissions 2030,ghg emissions 2030,reduction greenhouse gas,100 net contribution,15 25 reduction
KEN,climate change adaptation,national climate change,climate resilient development,attainment vision 2030,climate change kenya,kenya intended nationally,population urbanisation housing,public sector reforms,agriculture livestock development,change adaptation public,1996 revised ipcc,bau projection methodology,mainstream climate change,climate change actions,achieve low carbon,clean energy development,ministry environment natural,carbon climate resilient,revised ipcc guidelines,climate smart agriculture
KGZ,12 ghg emissions,efforts international support,domestic efforts international,ghg emissions reduction,2005 millions ghg,annual co2 gg,change kyrgyz republic,climate change kyrgyz,cumulative 2005 millions,emissions kyrgyz republic,emissions reduction domestic,ghg reduction annual,international support scenario,losses mln 2005,millions ghg reduction,reduction annual co2,reduction domestic efforts,resources cumulative 2005,scenario domestic efforts,capita ghg emissions
KHM,climate change action,change action plan,implementation climate change,change action plans,forest cover 60,forest million hectares,meteorology 2014 2018,plan agriculture forestry,resources meteorology 2014,water resources meteorology,climate change strategic,action plan agriculture,change strategic plan,plan water resources,action plan water,sectoral climate change,agriculture forestry fisheries,national strategic development,planning implementation processes,2014 2018 developing
KIR,climate change disaster,sea level rise,design procure install,fully funded activity,change disaster risks,change sea level,climate change sea,00 design procure,000 00 design,grid pv systems,install grid pv,procure install grid,increase high confidence,joint implementation plan,kiribati joint implementation,risk management kjip,disaster risk management,climate change adaptation,change disaster risk,based adaptation plans
KNA,st kitts nevis,federation saint kitts,saint kitts nevis,federation st kitts,kitts nevis committed,kitts nevis national,kitts nevis proposes,nevis national contributions,support st kitts,148 22 2030,1859 kw wind,20 mitigation contribution,2020 2030 mid,2020 accounted contributions,2025 35 absolute,2025 676 528,2030 836 540,2030 mid term,2030 respectively national,2030 time frame
KOR,2030 mitigation target,greenhouse gas emissions,measures mitigation korea,act low carbon,calculate greenhouse gas,energy economics institute,framework act low,implement mitigation target,joint working group,korea continued efforts,korea energy economics,mitigation target korea,sector korean government,sectoral measures mitigation,achieve 2030 mitigation,recommendations ipcc fifth,reduce greenhouse gas,carbon green growth,gas emissions sinks,ipcc guidelines used
KWT,environment protection law,protection law 42,law 42 2014,state kuwait considered,2014 amended law,42 year 2014,99 year 2015,amended law 99,average temperatures expected,change state kuwait,contributions state kuwait,country single source,crises natural disasters,determined contributions state,development state kuwait,energy production country,energy sector activities,frequency dust storms,intensity frequency dust,kuwait considered countries
LAO,objective related activities,2020 lao pdr,main barriers implementation,strategy year 2020,support required capacity,change action plans,change energy agriculture,energy agriculture water,financial flows address,flows address climate,forestry strategy year,required capacity building,anticipated future emissions,assessing base year,base year anticipated,investments financial flows,methodology assessing base,plan achieve goal,road network development,year 2020 lao
LBN,power heat demand,mitigation adaptation actions,2030 compared demand,2030 generated renewable,absence emergence new,adaptation measures biodiversity,adaptation priority lebanon,adverse impacts environmental,adversely affect lebanon,affect lebanon national,areas lebanon facing,building support technology,challenges result climate,circumstances prior latest,coastal areas lebanon,considered lebanon legitimate,country scarce water,crisis adversely affect,crisis matter considered,current water resources
LBR,20 energy efficiency,agenda transformation aft,energy efficiency ee,initial national communication,national energy policy,2030 agenda transformation,30 renewable generation,30 renewable scenario,coastal cities including,comprehensive sectoral strategies,cook stoves use,efficiency ee firewood,implement strengthen policy,implementation international community,institutional individual capacity,liberia agenda transformation,liberia indc presents,mainly methane ch4,means implementation international,pillar comprehensive sectoral
LCA,government saint lucia,projected emissions reductions,demand electricity generation,generation transportation sectors,ggco2 eq 2030,lucia medium term,saint lucia medium,electricity generation transportation,climate change phenomenon,energy demand electricity,0015 global emissions,121 ggco2 eq,188 ggco2 eq,2010 643 ggco2,2015 prices government,35 renewable energy,816 ggco2 eq,88 tco2 eq,accepts need contribute,achieve mitigation targets
LIE,domestic emission reductions,emission reductions abroad,2030 primary focus,abroad accounted liechtenstein,accounted liechtenstein reduction,agreed rules given,assumptions underlying liechtenstein,based possibility achieve,commitment internationally agreed,contribution objective described,described art unfccc,focus given domestic,given domestic emission,indc based possibility,liechtenstein indc based,liechtenstein reduction target,liechtenstein reserves right,liechtenstein smallest countries,objective described art,overall commitment internationally
